Part,Value,Device,Package,Library,Sheet
JTAG,,20021221-00010C4LF,20021221-00010C4LF,fci,1
SP-SW2,219-02,219-02,CTS-219-02,switch-dil,1
U2,23K256-I/SN,23K256-I/SN,SOIC127P600X175-8N,23K256-I_SN,1
U$2,5566-04A,5566-04A,5566-04A,con-molex,1
SUPPLY3.3V,MAIN,AK500/2,AK500/2,con-ptr500,1
SUPPLY5V,MAIN,AK500/2,AK500/2,con-ptr500,1
SUPPLY9,MAIN,AK500/2,AK500/2,con-ptr500,1
U1,,ATXMEGA128A1U-AU,TQFP-100A-100,atmel-xmega,1
3.3C2,0.1u,C-EUC0805,C0805,rcl,1
5C2,0.1u,C-EUC0805,C0805,rcl,1
9C2,0.1u,C-EUC0805,C0805,rcl,1
MEGA1-C1,0.1u,C-EUC0805,C0805,rcl,1
MEGA2-C1,0.1u,C-EUC0805,C0805,rcl,1
XMEGA-C1,0.1u,C-EUC0805,C0805,rcl,1
XMEGA-C2,0.1u,C-EUC0805,C0805,rcl,1
C1,22uF25V,C-EUC2012,C2012,resistor,1
C2,10uF10V,C-EUC2012,C2012,resistor,1
C3,22uF25V,C-EUC2012,C2012,resistor,1
C4,10uF10V,C-EUC2012,C2012,resistor,1
3.3C1,100u,CPOL-USE2.5-6,E2,,1
5C1,100u,CPOL-USE2.5-6,E2,,1
9C1,100u,CPOL-USE2.5-6,E2,,1
Q1,20MHz,CSTLS_X,CSTLS_X,0Murata-ceralocks-forprint,1
Q2,20MHz,CSTLS_X,CSTLS_X,0Murata-ceralocks-forprint,1
X2,DCJACK-MJ179P,DCJACK-MJ179P,MJ-179P,kamiki-dcjack,1
SPI-SW,,DIP03YL,DIP03YL,switch-dil,1
S1,,DIP08S,DIP08S,switch-dil-forprint,1
RESET-MEGA1,R-1,DTS-6,DTS-6,forprint,1
RESET-MEGA2,R-2,DTS-6,DTS-6,forprint,1
RESET-XMEGA,DTS-6,DTS-6,DTS-6,forprint,1
XMEGA-TEST1,SW1,DTS-6,DTS-6,forprint,1
XMEGA-TEST2,SW2,DTS-6,DTS-6,forprint,1
XMEGA-TEST3,SW3,DTS-6,DTS-6,forprint,1
SG1,F/EE17P,F/EE17P,F/EE17P,buzzer,1
IC1,FT232RL,FT232RL,SSOP28,ftdichip,1
Q3,IRF9530,IRF9530,TO220BV,transistor-power,1
Q4,IRF9530,IRF9530,TO220BV,transistor-power,1
Q5,IRF9530,IRF9530,TO220BV,transistor-power,1
L3,E1,LED5MM,LED5MM,0led,1
L4,E2,LED5MM,LED5MM,0led,1
FT-POWERLED,,LEDCHIPLED_0805,CHIPLED_0805,led,1
L5,RXDLED,LEDCHIPLED_0805,CHIPLED_0805,led,1
L6,TXDLED,LEDCHIPLED_0805,CHIPLED_0805,led,1
SP-LED,,LEDCHIPLED_0805,CHIPLED_0805,led,1
STEPINDI1,LED,LEDCHIPLED_0805,CHIPLED_0805,led,1
STEPINDI2,LED,LEDCHIPLED_0805,CHIPLED_0805,led,1
STEPINDI3,LED,LEDCHIPLED_0805,CHIPLED_0805,led,1
STEPINDI4,KED,LEDCHIPLED_0805,CHIPLED_0805,led,1
S2,,M251,M251,switch,1
MAINSW2,,MA03-1,MA03-1,0con-lstb,1
LCD,C2,MA05-1,MA05-1,con-lstb-forprint,1
TWILITE,C2,MA05-1,MA05-1,con-lstb-forprint,1
MEGA2,,MEGA8-AI,TQFP32-08,atmel,1
MEGA1,,MEGA8-AI,TQFP32-08,atmel,1
FT232USBCON,Wrie-USB,MINI-USB-SCHIELD-32005-201,32005-201,con-cypressindustries,1
MOTORDRIVER,,ML14,ML14,0con-harting-ml,1
TO-UNDER,,ML26,ML26,0con-harting-ml,1
SV1,,ML6,ML6,con-harting-ml,1
3.3REG,OKL-T_6-W12N-C,OKL-T_6-W12N-C,OKL-T/3-W5,SamacSys_Parts,1
5VREG,OKL-T_6-W12N-C,OKL-T_6-W12N-C,OKL-T/3-W5,SamacSys_Parts,1
CHECKLED,OSTA71A1D-A,OSTA71A1D-A,OSTA71A1D-A,FullColorLed-forprint,1
R1,1.2k,R-EU_0204/7,0204/7,resistor,1
R2,1.2k,R-EU_0204/7,0204/7,resistor,1
SP-RC1,20k,R-TRIMM3296W,RTRIM3296W,resistor,1
SP-RC2,20k,R-TRIMM3296W,RTRIM3296W,resistor,1
ERROR1-R,330,R-US_R0805,R0805,0@Mylibrary-main1,1
ERROR2-R,330,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R8,330,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R9,330,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R10,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R11,10K,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R12,1K,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R13,23,R-US_R0805,R0805,0@Mylibrary-main1,1
FT232-R14,23,R-US_R0805,R0805,0@Mylibrary-main1,1
INDILED1,330,R-US_R0805,R0805,0@Mylibrary-main1,1
INDILED2,330,R-US_R0805,R0805,0@Mylibrary-main1,1
INDILED3,330,R-US_R0805,R0805,0@Mylibrary-main1,1
INDILED4,330,R-US_R0805,R0805,0@Mylibrary-main1,1
M1-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
M2-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
R-B,?,R-US_R0805,R0805,0@Mylibrary-main1,1
R-G,?,R-US_R0805,R0805,0@Mylibrary-main1,1
R-R,?,R-US_R0805,R0805,0@Mylibrary-main1,1
SL-R1,1K,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R1,1.2k,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R2,20K,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R3,1.2k,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R4,20K,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R5,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
SP-R6,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
SRAM-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
SRAM-R2,10k,R-US_R0805,R0805,0@Mylibrary-main1,1
SS-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
SS-R2,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
TESTSW-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
TESTSW-R2,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
TESTSW-R3,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
X-R1,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
X-R2,4.7K,R-US_R0805,R0805,0@Mylibrary-main1,1
GND-CH,SMD5,SMD2,,,1
M-SW,TL36PO,TL36PO,TL3XPO,switch,1
IC2,ULN2003AN,ULN2003AN,DIL16,ULN2003A,1
MAIN-SPL,XH-2,XH-2,CON2,forprint,1
TW-SP,XH-2,XH-2,CON2,0@Mylibrary-main1,1
VOLTAGE-METER1,XH-2,XH-2,CON2,forprint,1
VOLTAGE-METER2,XH-2,XH-2,CON2,forprint,1
SUOPPLY-SW2,XH-3,XH-3,CON3,forprint,1
TOUCH1,XH-3,XH-3,CON3,forprint,1
TOUCH2,XH-3,XH-3,CON3,forprint,1
I2C-R,XH-4,XH-4,CON4,0@Mylibrary-main1,1
MPU,XH-4,XH-4,CON4,0@Mylibrary-main1,1
J1,XH-5,XH-5,CON5,0@Mylibrary-main1,1
SPI-R,XH-6,XH-6,CON6,0@Mylibrary-main1,1
GND-CHK,2,,,,1
GND-CHK1,2,,,,1
